id,trial,ia,dt,ptdt
118,2,coins,907,0.3015
118,2,total,1226,0.4076
118,3,coins,1192,0.3794
118,3,total,648,0.2062
118,4,coins,256,0.0856
118,4,total,1861,0.6226
118,5,coins,1870,0.6153
118,5,total,403,0.1326
118,6,coins,1106,0.3742
118,6,total,519,0.1756
118,7,coins,1380,0.4623
118,7,total,546,0.1829
118,8,coins,681,0.2277
118,8,total,317,0.106
118,10,coins,778,0.2586
118,10,total,351,0.1167
118,11,coins,1013,0.3639
118,11,total,895,0.3215
118,12,coins,761,0.2715
118,12,total,459,0.1638
118,13,coins,706,0.2492
118,13,total,464,0.1638
118,16,coins,754,0.2656
118,16,total,1184,0.417
118,17,coins,1128,0.3715
118,17,total,269,0.0886
118,19,coins,1880,0.7514
118,19,total,285,0.1139
118,22,coins,198,0.067
118,22,total,426,0.1441
118,23,coins,226,0.0744
118,23,total,430,0.1416
118,24,coins,178,0.0571
118,24,total,385,0.1235
118,27,coins,0,0
118,27,total,249,0.0976
118,28,coins,306,0.1092
118,28,total,254,0.0907
118,29,coins,1920,0.6216
118,29,total,446,0.1444
118,30,coins,442,0.1474
118,30,total,1713,0.5714
118,32,coins,634,0.2221
118,32,total,342,0.1198
118,33,coins,1310,0.4432
118,33,total,805,0.2723
118,34,coins,1587,0.5283
118,34,total,0,0
118,37,coins,382,0.1358
118,37,total,581,0.2066
118,38,coins,0,0
118,38,total,0,0
118,39,coins,1611,0.4847
118,39,total,0,0
118,40,coins,1123,0.3741
118,40,total,245,0.0816
118,41,coins,279,0.0938
118,41,total,264,0.0887
118,43,coins,605,0.2176
118,43,total,0,0
118,46,coins,798,0.371
118,46,total,0,0
118,47,coins,733,0.2852
118,47,total,0,0
118,49,coins,1823,0.7234
118,49,total,0,0
118,50,coins,1719,0.5753
118,50,total,0,0
118,51,coins,657,0.3576
118,51,total,0,0
118,52,coins,1169,0.3633
118,52,total,0,0
118,54,coins,2088,0.6871
118,54,total,0,0
118,56,coins,973,0.3735
118,56,total,496,0.1904
118,57,coins,277,0.1242
118,57,total,0,0
118,59,coins,466,0.2331
118,59,total,0,0
118,60,coins,726,0.2441
118,60,total,456,0.1533
118,63,coins,945,0.3264
118,63,total,0,0
118,64,coins,399,0.1464
118,64,total,232,0.0851
118,65,coins,270,0.0918
118,65,total,433,0.1473
118,66,coins,316,0.1052
118,66,total,371,0.1235
118,68,coins,1557,0.5581
118,68,total,0,0
118,69,coins,745,0.2557
118,69,total,0,0
118,70,coins,1168,0.4418
118,70,total,606,0.2292
118,71,coins,1321,0.5048
118,71,total,579,0.2212
118,75,coins,2198,0.7566
118,75,total,0,0
118,76,coins,815,0.2719
118,76,total,254,0.0848
118,77,coins,411,0.1424
118,77,total,0,0
118,78,coins,0,0
118,78,total,306,0.1145
118,79,coins,0,0
118,79,total,0,0
118,83,coins,289,0.0988
118,83,total,0,0
118,87,coins,0,0
118,87,total,451,0.1602
118,90,coins,0,0
118,90,total,365,0.2121
118,93,coins,1776,0.8322
118,93,total,0,0
118,94,coins,1899,0.6956
118,94,total,379,0.1388
118,95,coins,206,0.1479
118,95,total,0,0
118,96,coins,2500,0.7867
118,96,total,0,0
118,97,coins,743,0.4711
118,97,total,0,0
118,98,coins,709,0.2515
118,98,total,0,0
121,2,coins,1110,0.3931
121,2,total,1114,0.3945
121,3,coins,469,0.1474
121,3,total,235,0.0739
121,4,coins,676,0.2069
