id,trial,ia,dt,ptdt
116,1, coins,263,0.0893
116,1,total,733,0.2488
116,3, coins,0,0
116,3,total,793,0.2501
116,5, coins,220,0.0703
116,5,total,926,0.2958
116,6, coins,0,0
116,6,total,688,0.2178
116,9, coins,0,0
116,9,total,836,0.2666
116,10, coins,172,0.0574
116,10,total,501,0.1673
116,13, coins,183,0.0609
116,13,total,951,0.3166
116,14, coins,0,0
116,14,total,1570,0.4964
116,15, coins,0,0
116,15,total,1197,0.3907
116,16, coins,0,0
116,16,total,367,0.1301
116,17, coins,0,0
116,17,total,502,0.1677
116,18, coins,205,0.0703
116,18,total,1170,0.4014
116,20, coins,0,0
116,20,total,629,0.2209
116,22, coins,183,0.0585
116,22,total,581,0.1856
116,24, coins,0,0
116,24,total,634,0.2051
116,26, coins,0,0
116,26,total,710,0.2293
116,28, coins,191,0.0669
116,28,total,651,0.2279
116,30, coins,0,0
116,30,total,605,0.1962
116,31, coins,0,0
116,31,total,866,0.2905
116,32, coins,0,0
116,32,total,566,0.1749
116,34, coins,0,0
116,34,total,897,0.2976
116,36, coins,261,0.0855
116,36,total,488,0.1598
116,37, coins,239,0.0836
116,37,total,1383,0.4839
116,38, coins,0,0
116,38,total,898,0.3041
116,41, coins,0,0
116,41,total,569,0.2005
116,43, coins,216,0.0706
116,43,total,732,0.2391
116,44, coins,238,0.0829
116,44,total,526,0.1831
116,45, coins,0,0
116,45,total,467,0.1683
116,46, coins,225,0.0705
116,46,total,1215,0.3808
116,47, coins,0,0
116,47,total,390,0.1277
116,49, coins,0,0
116,49,total,686,0.2223
116,50, coins,0,0
116,50,total,778,0.2551
116,51, coins,0,0
116,51,total,1535,0.52
116,52, coins,381,0.1424
116,52,total,678,0.2535
116,53, coins,253,0.083
116,53,total,462,0.1516
116,54, coins,306,0.1084
116,54,total,508,0.18
116,56, coins,0,0
116,56,total,344,0.1205
116,62, coins,0,0
116,62,total,772,0.2629
116,63, coins,207,0.0764
116,63,total,353,0.1304
116,70, coins,222,0.0746
116,70,total,594,0.1996
116,71, coins,333,0.1186
116,71,total,722,0.2572
116,72, coins,843,0.2985
116,72,total,1402,0.4965
116,74, coins,0,0
116,74,total,801,0.272
116,75, coins,0,0
116,75,total,426,0.1828
116,76, coins,0,0
116,76,total,441,0.1659
116,77, coins,0,0
116,77,total,1456,0.5084
116,78, coins,0,0
116,78,total,451,0.1565
116,79, coins,0,0
116,79,total,553,0.1763
116,82, coins,331,0.1208
116,82,total,1208,0.4409
116,84, coins,0,0
116,84,total,877,0.3097
116,88, coins,0,0
116,88,total,457,0.1681
116,89, coins,0,0
116,89,total,328,0.1269
116,90, coins,0,0
116,90,total,531,0.1741
116,91, coins,0,0
116,91,total,394,0.1277
