Subject,version
101,PIT1
102,PIT4
103,PIT4
104,PIT3
105,PIT2
106,PIT3
107,PIT1
108,PIT1
109,PIT2
110,PIT2
111,PIT3
112,PIT4
113,PIT1
114,PIT4
115,PIT3
116,PIT3
117,PIT1
118,PIT3
119,PIT1
120,PIT1
121,PIT1
122,PIT4
123,PIT1
124,PIT3
125,PIT3
126,PIT3
127,PIT4
128,PIT3
129,PIT1
130,PIT1
131,PIT2
132,PIT4
133,PIT2
134,PIT4
135,PIT2
136,PIT1
137,PIT2
138,PIT2
139,PIT1
140,PIT2
141,PIT1
142,PIT2
143,PIT2
144,PIT4
145,PIT2
146,PIT1
147,PIT1
148,PIT2
149,PIT1
150,PIT1
151,PIT2
152,PIT3
153,PIT1
154,PIT3
155,PIT1
156,PIT1
157,PIT4
158,PIT4
159,PIT4
160,PIT3
161,PIT4
162,PIT4
163,PIT4
164,PIT4
165,PIT4
166,PIT1
167,PIT1
168,PIT2
169,PIT3
170,PIT2
171,PIT3
172,PIT4
173,PIT4
174,PIT3
175,PIT2
176,PIT3
177,PIT1
178,PIT1
179,PIT3
180,PIT1
181,PIT4
182,PIT3
183,PIT4
184,PIT2
185,PIT1
186,PIT4
187,PIT2
188,PIT3
189,PIT2
190,PIT3
191,PIT1
192,PIT2
193,PIT3
194,PIT1
195,PIT2
196,PIT4
197,PIT2
198,PIT3
199,PIT1
200,PIT1
201,PIT4
202,PIT2
203,PIT4
204,PIT2
205,PIT4
206,PIT4
207,PIT3
208,PIT2
209,PIT2
210,PIT1
211,PIT3
212,PIT3
213,PIT2
214,PIT3
215,PIT4
216,PIT2
217,PIT2
218,PIT4
219,PIT1
220,PIT4
221,PIT3
222,PIT1
223,PIT2
224,PIT3
225,PIT1
226,PIT4
227,PIT4
228,PIT3
229,PIT4
230,PIT2
231,PIT3
