id,meanptdt_CS,meanptdt_US,meandt_CS,meandt_US,gazeidx,backgroundgaze,bkgd,STGT_ter
101,0.93019,0,2949.7,0,0.93019,0.06981,0.08672,ST
102,0.53058,0.18979,1636.4,580.6,0.34079,0.27963,0.20143,IM
103,0.32312,0,416,0,0.32312,0.67688,0.40805,IM
104,0.15384,0.12497,55.3,111.2,0.02887,0.72119,0.59023,GT
105,0.58923,0.14492,2276.1,537,0.44431,0.26585,0.379315,IM
106,1,0,3517.6,0,1,0,0.109955,ST
107,0.28367,0.04893,846.5,160.6,0.23474,0.6674,0.79659,IM
108,0.23867,0.12424,434.2,55.2,0.11443,0.63709,0.571785,IM
109,0.30558,0.30315,722.7,790.5,0.00243,0.39127,0.318035,GT
111,0.79412,0.06785,1922.3,152.7,0.72627,0.13803,0.16665,ST
112,0.05261,0.65115,159.8,2192.5,-0.59854,0.29624,0.271415,GT
113,0.06126,0.18397,197.1,640.6,-0.12271,0.75477,0.54602,GT
114,0.02326,0.45114,41.2,577.7,-0.42788,0.5256,0.409765,GT
115,0.76854,0.14368,2776,518.5,0.62486,0.08778,0.062715,ST
116,0.97341,0,3476.8,0,0.97341,0.02659,0.079505,ST
117,0.06612,0.20517,120.3,375.7,-0.13905,0.72871,0.58626,GT
118,0.26918,0.42196,509.6,1278.2,-0.15278,0.30886,0.2253,GT
119,0.41535,0.23205,667.9,216.4,0.1833,0.3526,0.33488,IM
120,0.45841,0.18031,1775,680.5,0.2781,0.36128,0.202635,IM
122,0.54285,0.32397,1910.9,1016.5,0.21888,0.13318,0.17566,IM
123,0.41138,0.31233,1272,981.7,0.09905,0.27629,0.196325,GT
124,0.12642,0.19732,436.8,654.9,-0.0709,0.67626,0.505615,GT
125,0.02875,0.86032,101.6,3082.6,-0.83157,0.11093,0.072265,GT
126,0.59623,0.05552,1983.2,161.8,0.54071,0.34825,0.310155,IM
127,0.3753,0.21686,970.5,640.3,0.15844,0.40784,0.649615,IM
128,0.12658,0.06009,436.7,212.3,0.06649,0.81333,0.729915,GT
129,0.1,0,394.6,0,0.1,0.9,0.75297,GT
130,0.16588,0.00348,457.3,6.2,0.1624,0.83064,0.505425,IM
131,0.74701,0.01697,2600,59.4,0.73004,0.23602,0.14794,ST
132,0.41233,0.16993,1011,492.9,0.2424,0.41774,0.38699,IM
133,0.39442,0.42106,1474.1,1596.8,-0.02664,0.18452,0.13191,GT
134,0.48367,0.31788,1401.9,985.6,0.16579,0.19845,0.417705,IM
135,0.86495,0.03681,2562,86.4,0.82814,0.09824,0.098645,ST
136,0.70541,0.13671,2615,505.9,0.5687,0.15788,0.113725,ST
137,0.65033,0.0202,2122.1,62.4,0.63013,0.32947,0.198335,ST
