id,ia_id,ia,dt,ptdt
301,1,Coins,347.49,30.14
301,2,Total,538.31,46.7
302,1,Coins,993.22,65.68
302,2,Total,246.64,16.31
303,1,Coins,518.87,38.15
303,2,Total,434.52,31.94
304,1,Coins,143.28,10.97
304,2,Total,225.24,17.24
305,1,Coins,261.73,18.32
305,2,Total,194.13,13.59
306,1,Coins,103.77,8.58
306,2,Total,140.02,11.57
307,1,Coins,164.5,16.35
307,2,Total,81.25,8.08
308,1,Coins,90.03,7.7
308,2,Total,227.8,19.48
309,1,Coins,342.5,26.15
309,2,Total,227.09,17.34
310,1,Coins,290.96,22.43
310,2,Total,204.36,15.76
311,1,Coins,129.95,9.53
311,2,Total,207.63,15.22
312,1,Coins,627.24,41.35
312,2,Total,254.15,16.75
313,1,Coins,591.93,42.66
313,2,Total,459.2,33.1
315,1,Coins,317.57,23.79
315,2,Total,265.53,19.89
316,1,Coins,306.51,26.52
316,2,Total,214.84,18.59
317,1,Coins,325.2,26.12
317,2,Total,339.03,27.23
318,1,Coins,217.15,16.59
318,2,Total,141.3,10.79
319,1,Coins,198.95,14.03
319,2,Total,216.75,15.29
320,1,Coins,393.26,29.22
320,2,Total,263.63,19.59
321,1,Coins,456.78,34.98
321,2,Total,363.43,27.83
322,1,Coins,54.9,4
322,2,Total,36.75,2.67
323,1,Coins,293.05,21.73
323,2,Total,419.97,31.14
324,1,Coins,471.94,30.22
324,2,Total,655.43,41.97
325,1,Coins,863.29,53.3
325,2,Total,283.67,17.52
326,1,Coins,157.2,13.21
326,2,Total,204.76,17.21
328,1,Coins,172.14,13.34
328,2,Total,223.37,17.31
329,1,Coins,210.76,15.63
329,2,Total,179.02,13.27
330,1,Coins,241.62,24.89
330,2,Total,331.92,34.19
331,1,Coins,227.81,18.47
331,2,Total,452.85,36.71
332,1,Coins,235.42,22.12
332,2,Total,211.51,19.87
333,1,Coins,234.58,17.41
333,2,Total,340.59,25.27
334,1,Coins,114.34,12.71
334,2,Total,125.23,13.92
335,1,Coins,569.46,37.7
335,2,Total,500.29,33.12
336,1,Coins,549.65,43.49
336,2,Total,254.38,20.13
337,1,Coins,398.47,37.84
337,2,Total,228.13,21.66
338,1,Coins,477.84,39
338,2,Total,215.05,17.55
339,1,Coins,422.31,28.14
339,2,Total,434.95,28.99
340,1,Coins,256.31,22.02
340,2,Total,272.73,23.43
341,1,Coins,296.89,25.43
341,2,Total,333.92,28.61
342,1,Coins,489.05,41.68
342,2,Total,396.79,33.82
343,1,Coins,201.68,17.07
343,2,Total,163.09,13.81
344,1,Coins,114.61,7.46
344,2,Total,23.83,1.55
345,1,Coins,303.71,29.05
345,2,Total,130.14,12.45
346,1,Coins,603.95,48.8
346,2,Total,309.92,25.04
347,1,Coins,579.43,43.79
347,2,Total,347.28,26.25
348,1,Coins,614.71,44.39
348,2,Total,493,35.6
349,1,Coins,514.51,39.16
349,2,Total,317.6,24.17
350,1,Coins,225.77,21.79
350,2,Total,252.29,24.35
351,1,Coins,796.2,50.34
351,2,Total,399.51,25.26
352,1,Coins,613.67,45.44
352,2,Total,262.85,19.46
353,1,Coins,667.3,42.95
353,2,Total,178.35,11.48
354,1,Coins,588.23,57.04
354,2,Total,333.9,32.38
355,1,Coins,20.41,1.15
355,2,Total,24.87,1.4
356,1,Coins,404.08,30.57
356,2,Total,384.93,29.12
357,1,Coins,286.88,31.99
357,2,Total,385.2,42.96
358,1,Coins,565.21,36.6
358,2,Total,358.38,23.21
359,1,Coins,72.18,4.95
359,2,Total,117.56,8.06
