id,ia_id,ia,dt,ptdt
301,1,Coins,30.9,2.45
301,2,Total,709.55,56.32
302,1,Coins,267.55,17.34
302,2,Total,504.09,32.68
303,1,Coins,228.01,15.87
303,2,Total,672.96,46.85
304,1,Coins,11.72,0.72
304,2,Total,275.52,16.98
305,1,Coins,71.07,4.61
305,2,Total,94.09,6.11
306,1,Coins,18.42,1.34
306,2,Total,113.38,8.25
307,1,Coins,12.79,1.11
307,2,Total,145.08,12.59
308,1,Coins,10.89,0.81
308,2,Total,193.84,14.5
309,1,Coins,75.84,5.92
309,2,Total,450.05,35.12
310,1,Coins,45.67,4.35
310,2,Total,228.93,21.78
311,1,Coins,36.69,3.8
311,2,Total,127.63,13.23
312,1,Coins,237.27,18.18
312,2,Total,251.09,19.24
313,1,Coins,369.87,26.12
313,2,Total,505.32,35.69
314,1,Coins,98.95,7.45
314,2,Total,756.77,56.97
315,1,Coins,74.95,5.71
315,2,Total,441.96,33.65
316,1,Coins,5.44,0.46
316,2,Total,233.1,19.91
317,1,Coins,33.94,2.76
317,2,Total,405.1,32.96
318,1,Coins,48.87,3.65
318,2,Total,112.96,8.45
319,1,Coins,50.35,3.56
319,2,Total,221.8,15.7
320,1,Coins,29.12,2.07
320,2,Total,243.36,17.27
321,1,Coins,261.23,19.11
321,2,Total,570.06,41.7
322,1,Coins,29.15,2.11
322,2,Total,81.22,5.88
323,1,Coins,2.43,0.2
323,2,Total,261.32,22.04
324,1,Coins,99.93,7
324,2,Total,675.95,47.35
325,1,Coins,278.82,17.85
325,2,Total,384.82,24.64
326,1,Coins,20.54,1.73
326,2,Total,271.85,22.95
328,1,Coins,254.82,19
328,2,Total,234.02,17.44
329,1,Coins,8.68,0.61
329,2,Total,269.85,18.95
330,1,Coins,83.82,7.43
330,2,Total,403.9,35.8
331,1,Coins,21.82,2.25
331,2,Total,489.1,50.36
332,1,Coins,12.15,1.4
332,2,Total,146.83,16.87
333,1,Coins,98.01,9.79
333,2,Total,220.38,22.01
334,1,Coins,12.68,1.05
334,2,Total,49.27,4.1
335,1,Coins,58.86,4.75
335,2,Total,376.2,30.38
336,1,Coins,94.8,6.77
336,2,Total,278,19.84
337,1,Coins,24.25,1.73
337,2,Total,338.9,24.22
338,1,Coins,94.37,7.08
338,2,Total,481.53,36.14
339,1,Coins,42.25,3.27
339,2,Total,723.25,56
340,1,Coins,32.55,2.84
340,2,Total,298.67,26.1
341,1,Coins,8.03,0.62
341,2,Total,170.05,13.14
342,1,Coins,67.32,4.85
342,2,Total,447.93,32.28
343,1,Coins,54.78,4.11
343,2,Total,70.58,5.29
344,1,Coins,0,0
344,2,Total,4.82,0.36
345,1,Coins,64.23,5.25
345,2,Total,206.25,16.87
346,1,Coins,19.65,1.65
346,2,Total,200.93,16.82
347,1,Coins,287.37,26.88
347,2,Total,314.14,29.39
348,1,Coins,64.4,5.06
348,2,Total,533.36,41.89
349,1,Coins,8.23,0.53
349,2,Total,253.55,16.24
350,1,Coins,24.73,2.19
350,2,Total,347.46,30.73
352,1,Coins,42.15,3.24
352,2,Total,389.84,30
353,1,Coins,186.73,12.64
353,2,Total,107.39,7.27
354,1,Coins,249.07,20.42
354,2,Total,552.22,45.26
355,1,Coins,34.13,2.16
355,2,Total,78.78,5
356,1,Coins,15.55,1.03
356,2,Total,189.92,12.59
357,1,Coins,221.09,23.92
357,2,Total,373.03,40.35
358,1,Coins,194.67,13.14
358,2,Total,565.46,38.18
359,1,Coins,10.74,0.71
359,2,Total,81.49,5.42
