id,percent_congruent,STGT_ter,
101,64.74,ST,71.8970339
102,59.05,IM,
103,54.55,IM,
104,79.82,GT,
105,54.09,IM,
106,74.17,ST,
107,71.14,IM,
108,92.54,IM,
109,81.84,GT,
111,94.27,ST,
112,61.03,GT,
113,65.84,GT,
114,50.69,GT,
115,45,ST,
116,66.06,ST,
117,57.7,GT,
118,70.67,GT,
119,91.16,IM,
120,55.72,IM,
122,64.64,IM,
123,58.78,GT,
124,44.8,GT,
125,77.47,GT,
126,83.22,IM,
127,93.22,IM,
128,89.54,GT,
129,79.79,GT,
130,94.16,IM,
131,57.68,ST,
132,72.25,IM,
133,73.63,GT,
134,68.24,IM,
135,88.83,ST,
136,96.04,ST,
137,97.4,ST,
138,74.62,ST,
139,51.9,IM,
140,81.47,IM,
141,43.09,IM,
142,61.23,GT,
143,88.2,IM,
144,50.89,ST,
145,88.19,IM,
146,92.49,GT,
147,61.2,GT,
148,72.9,ST,
149,48.51,ST,
150,89.21,ST,
151,64.42,GT,
152,68.88,GT,
153,51.14,IM,
155,94.12,GT,
156,87.36,ST,
157,53.32,IM,
158,87.93,GT,
159,54.19,IM,
160,59.7,IM,
161,90.15,ST,
162,73.66,IM,
163,60.37,GT,
164,82.3,IM,
165,88.21,IM,
166,72.46,ST,
167,86.67,IM,
168,79.61,IM,
169,55.81,IM,
170,82.89,GT,
172,88.05,GT,
173,47.34,IM,
174,77.06,ST,
175,71.90,ST,
176,56.38,IM,
178,57.33,ST,
179,73.37,ST,
181,86.44,ST,
183,95.79,GT,
184,53.06,IM,
185,88.02,ST,
186,97.26,GT,
187,53.46,IM,
188,58.3,IM,
189,55.8,IM,
190,53.46,GT,
191,60.08,ST,
192,49.27,GT,
193,55.16,ST,
194,51,ST,
195,94.02,ST,
196,42.53,GT,
197,74.87,ST,
198,78.86,GT,
199,51.14,IM,
200,83.46,GT,
202,90.67,GT,
203,57.75,IM,
205,45.28,ST,
206,86.89,ST,
207,92.92,ST,
208,88.87,GT,
210,94.06,ST,
211,66.23,IM,
212,71.90,ST,
213,48.48,GT,
214,82.61,GT,
215,83.96,GT,
216,84.69,GT,
217,68.58,GT,
218,90.56,GT,
220,84.04,ST,
221,75.89,IM,
222,89.27,GT,
223,56.79,ST,
224,85.53,IM,
225,66.74,ST,
226,67.65,ST,
227,84.42,ST,
228,78.28,GT,
229,96.65,ST,
230,57.8,ST,
231,50.87,IM,
