"id","stimulus","congruent","incongruent","response_idx","version"
"101","filler",23,38,-0.245901639344262,1
"101","nowin",59,75,-0.119402985074627,1
"101","win",96,59,0.238709677419355,1
"107","filler",35,25,0.166666666666667,1
"107","nowin",103,96,0.0351758793969849,1
"107","win",109,95,0.0686274509803922,1
"108","filler",68,10,0.743589743589744,1
"108","nowin",84,125,-0.196172248803828,1
"108","win",74,109,-0.191256830601093,1
"113","filler",33,31,0.03125,1
"113","nowin",130,99,0.135371179039301,1
"113","win",118,106,0.0535714285714286,1
"117","filler",57,9,0.727272727272727,1
"117","nowin",126,105,0.0909090909090909,1
"117","win",112,113,-0.00444444444444444,1
"119","filler",84,0,1,1
"119","nowin",84,134,-0.229357798165138,1
"119","win",112,118,-0.0260869565217391,1
"120","filler",44,34,0.128205128205128,1
"120","nowin",149,120,0.107806691449814,1
"120","win",115,154,-0.144981412639405,1
"121","filler",54,24,0.384615384615385,1
"121","nowin",25,19,0.136363636363636,1
"121","win",0,46,-1,1
"123","filler",38,42,-0.05,1
"123","nowin",130,110,0.0833333333333333,1
"123","win",115,126,-0.045643153526971,1
"130","filler",20,67,-0.540229885057471,1
"130","nowin",178,94,0.308823529411765,1
"130","win",227,43,0.681481481481481,1
"131","filler",22,22,0,1
"131","nowin",75,81,-0.0384615384615385,1
"131","win",78,86,-0.0487804878048781,1
"136","filler",36,28,0.125,1
"136","nowin",159,71,0.382608695652174,1
"136","win",130,92,0.171171171171171,1
"139","filler",17,42,-0.423728813559322,1
"139","nowin",129,97,0.141592920353982,1
"139","win",105,114,-0.0410958904109589,1
"141","filler",12,10,0.0909090909090909,1
"141","nowin",28,35,-0.111111111111111,1
"141","win",29,38,-0.134328358208955,1
"146","filler",101,0,1,1
"146","nowin",110,195,-0.278688524590164,1
"146","win",138,177,-0.123809523809524,1
"147","filler",29,5,0.705882352941177,1
"147","nowin",94,40,0.402985074626866,1
"147","win",66,71,-0.0364963503649635,1
"149","filler",32,35,-0.0447761194029851,1
"149","nowin",109,106,0.013953488372093,1
"149","win",93,122,-0.134883720930233,1
"150","filler",51,14,0.569230769230769,1
"150","nowin",91,136,-0.198237885462555,1
"150","win",135,79,0.261682242990654,1
"153","filler",76,9,0.788235294117647,1
"153","nowin",150,102,0.19047619047619,1
"153","win",121,127,-0.0241935483870968,1
"155","filler",59,9,0.735294117647059,1
"155","nowin",109,159,-0.186567164179104,1
"155","win",102,150,-0.19047619047619,1
"156","filler",40,35,0.0666666666666667,1
"156","nowin",129,134,-0.0190114068441065,1
"156","win",167,99,0.255639097744361,1
"166","filler",40,28,0.176470588235294,1
"166","nowin",112,145,-0.1284046692607,1
"166","win",211,37,0.701612903225806,1
"167","filler",33,35,-0.0294117647058824,1
"167","nowin",148,51,0.487437185929648,1
"167","win",113,82,0.158974358974359,1
"177","filler",52,11,0.650793650793651,1
"177","nowin",177,81,0.372093023255814,1
"177","win",194,67,0.486590038314176,1
"178","filler",45,32,0.168831168831169,1
"178","nowin",131,117,0.0564516129032258,1
"178","win",123,131,-0.031496062992126,1
"180","filler",8,6,0.142857142857143,1
"180","nowin",23,20,0.0697674418604651,1
"180","win",22,22,0,1
"185","filler",33,43,-0.131578947368421,1
"185","nowin",174,80,0.37007874015748,1
"185","win",125,124,0.00401606425702811,1
"191","filler",44,33,0.142857142857143,1
"191","nowin",129,129,0,1
"191","win",150,116,0.12781954887218,1
"194","filler",19,25,-0.136363636363636,1
"194","nowin",61,69,-0.0615384615384615,1
"194","win",52,66,-0.11864406779661,1
"199","filler",14,18,-0.125,1
"199","nowin",41,46,-0.0574712643678161,1
"199","win",44,41,0.0352941176470588,1
"200","filler",58,15,0.589041095890411,1
"200","nowin",193,51,0.581967213114754,1
"200","win",195,47,0.611570247933884,1
"210","filler",74,11,0.741176470588235,1
"210","nowin",204,72,0.478260869565217,1
"210","win",207,67,0.510948905109489,1
"222","filler",3,26,-0.793103448275862,1
"222","nowin",38,66,-0.269230769230769,1
"222","win",89,71,0.1125,1
"225","filler",54,23,0.402597402597403,1
"225","nowin",148,93,0.228215767634855,1
"225","win",163,85,0.314516129032258,1
"105","filler",17,13,0.133333333333333,2
"105","nowin",49,42,0.0769230769230769,2
"105","win",52,50,0.0196078431372549,2
"109","filler",35,7,0.666666666666667,2
"109","nowin",132,77,0.263157894736842,2
"109","win",95,69,0.158536585365854,2
"110","filler",43,20,0.365079365079365,2
"110","nowin",121,123,-0.00819672131147541,2
"110","win",147,99,0.195121951219512,2
"132","filler",25,29,-0.0740740740740741,2
"132","nowin",105,95,0.05,2
"132","win",103,80,0.12568306010929,2
"133","filler",74,11,0.741176470588235,2
"133","nowin",219,46,0.652830188679245,2
"133","win",223,56,0.598566308243728,2
"135","filler",13,80,-0.720430107526882,2
"135","nowin",143,145,-0.00694444444444444,2
"135","win",141,151,-0.0342465753424658,2
"137","filler",23,45,-0.323529411764706,2
"137","nowin",180,67,0.45748987854251,2
"137","win",156,105,0.195402298850575,2
"138","filler",33,15,0.375,2
"138","nowin",81,79,0.0125,2
"138","win",95,58,0.241830065359477,2
"140","filler",25,55,-0.375,2
"140","nowin",170,101,0.254612546125461,2
"140","win",165,114,0.182795698924731,2
"142","filler",23,44,-0.313432835820896,2
"142","nowin",112,92,0.0980392156862745,2
"142","win",108,84,0.125,2
"143","filler",38,35,0.0410958904109589,2
"143","nowin",71,187,-0.449612403100775,2
"143","win",51,210,-0.609195402298851,2
"145","filler",12,65,-0.688311688311688,2
"145","nowin",145,129,0.0583941605839416,2
"145","win",118,145,-0.102661596958175,2
"148","filler",18,16,0.0588235294117647,2
"148","nowin",44,46,-0.0222222222222222,2
"148","win",50,58,-0.0740740740740741,2
"151","filler",43,20,0.365079365079365,2
"151","nowin",159,77,0.347457627118644,2
"151","win",94,150,-0.229508196721311,2
"168","filler",42,28,0.2,2
"168","nowin",64,109,-0.260115606936416,2
"168","win",145,79,0.294642857142857,2
"170","filler",21,52,-0.424657534246575,2
"170","nowin",190,58,0.532258064516129,2
"170","win",122,132,-0.0393700787401575,2
"175","filler",24,22,0.0434782608695652,2
"175","nowin",109,62,0.274853801169591,2
"175","win",94,59,0.228758169934641,2
"184","filler",36,28,0.125,2
"184","nowin",139,111,0.112,2
"184","win",121,127,-0.0241935483870968,2
"187","filler",53,24,0.376623376623377,2
"187","nowin",103,168,-0.239852398523985,2
"187","win",174,100,0.27007299270073,2
"189","filler",36,33,0.0434782608695652,2
"189","nowin",115,133,-0.0725806451612903,2
"189","win",120,114,0.0256410256410256,2
"192","filler",47,40,0.0804597701149425,2
"192","nowin",142,110,0.126984126984127,2
"192","win",158,97,0.23921568627451,2
"195","filler",26,48,-0.297297297297297,2
"195","nowin",122,130,-0.0317460317460317,2
"195","win",140,106,0.138211382113821,2
"197","filler",33,15,0.375,2
"197","nowin",99,63,0.222222222222222,2
"197","win",93,60,0.215686274509804,2
"202","filler",55,27,0.341463414634146,2
"202","nowin",194,86,0.385714285714286,2
"202","win",140,141,-0.00355871886120996,2
"203","filler",32,37,-0.072463768115942,2
"203","nowin",107,134,-0.112033195020747,2
"203","win",110,132,-0.0909090909090909,2
"204","filler",59,2,0.934426229508197,2
"204","nowin",79,136,-0.265116279069767,2
"204","win",127,79,0.233009708737864,2
"208","filler",63,1,0.96875,2
"208","nowin",165,41,0.601941747572815,2
"208","win",159,46,0.551219512195122,2
"209","filler",30,32,-0.032258064516129,2
"209","nowin",123,74,0.248730964467005,2
"209","win",112,70,0.230769230769231,2
"213","filler",41,19,0.366666666666667,2
"213","nowin",128,99,0.127753303964758,2
"213","win",63,157,-0.427272727272727,2
"216","filler",62,23,0.458823529411765,2
"216","nowin",115,175,-0.206896551724138,2
"216","win",122,160,-0.134751773049645,2
"217","filler",9,36,-0.6,2
"217","nowin",46,56,-0.0980392156862745,2
"217","win",59,70,-0.0852713178294574,2
"223","filler",31,17,0.291666666666667,2
"223","nowin",110,62,0.27906976744186,2
"223","win",89,77,0.072289156626506,2
"230","filler",22,29,-0.137254901960784,2
"230","nowin",72,82,-0.0649350649350649,2
"230","win",89,72,0.105590062111801,2
"104","filler",34,26,0.133333333333333,3
"104","nowin",147,85,0.267241379310345,3
"104","win",83,126,-0.205741626794258,3
"106","filler",15,12,0.111111111111111,3
"106","nowin",65,86,-0.139072847682119,3
"106","win",51,84,-0.244444444444444,3
"111","filler",73,12,0.717647058823529,3
"111","nowin",166,96,0.267175572519084,3
"111","win",200,68,0.492537313432836,3
"115","filler",37,26,0.174603174603175,3
"115","nowin",109,140,-0.124497991967871,3
"115","win",91,140,-0.212121212121212,3
"116","filler",17,61,-0.564102564102564,3
"116","nowin",179,97,0.297101449275362,3
"116","win",155,111,0.165413533834586,3
"118","filler",24,11,0.371428571428571,3
"118","nowin",58,45,0.12621359223301,3
"118","win",59,58,0.00854700854700855,3
"124","filler",17,40,-0.403508771929825,3
"124","nowin",68,136,-0.333333333333333,3
"124","win",50,168,-0.541284403669725,3
"125","filler",41,26,0.223880597014925,3
"125","nowin",123,131,-0.031496062992126,3
"125","win",132,129,0.0114942528735632,3
"126","filler",51,18,0.478260869565217,3
"126","nowin",133,91,0.1875,3
"126","win",91,139,-0.208695652173913,3
"128","filler",84,0,1,3
"128","nowin",176,96,0.294117647058824,3
"128","win",160,116,0.159420289855072,3
"152","filler",32,32,0,3
"152","nowin",117,117,0,3
"152","win",126,85,0.194312796208531,3
"154","filler",28,28,0,3
"154","nowin",113,117,-0.0173913043478261,3
"154","win",117,117,0,3
"160","filler",47,43,0.0444444444444444,3
"160","nowin",150,137,0.0452961672473868,3
"160","win",144,137,0.0249110320284698,3
"169","filler",37,21,0.275862068965517,3
