id,version,CSplusAware,CSminusAware,Aware,Csplus_rating,Csminus_rating,IC,STGT_ter
302,3,11.3,0,1,3,3,77.75061125,ST
303,3,11.8,3,0.75,5,3,53.18181818,IM
304,3,10.9,6.1,0.44,5,4,65.18847007,ST
306,3,13,1,0.92,4,3,90.28436019,IM
308,4,13.8,0.4,0.97,2,4,69.88235294,GT
309,2,14,0.8,0.94,5,1,71.58469945,GT
310,2,13.5,0,1,5,1,75.78125,GT
311,3,11.4,2,0.82,4,4,69.33797909,ST
312,4,11.6,0,1,4,3,84.29319372,ST
313,1,12.6,4.9,0.61,5,3,50.8361204,ST
314,4,9.2,7.6,0.17,3,2,66.66666667,GT
315,3,9.5,1.1,0.88,2,3,58.11965812,IM
316,3,6.1,5.4,0.11,3,3,80.11204482,ST
317,1,10.4,5.1,0.51,4,3,43.18181818,GT
318,3,14.4,0.2,0.99,5,1,60.58823529,GT
319,4,13.1,0.6,0.95,5,1,85.93406593,GT
320,3,12.7,2.5,0.8,4,3,92.51870324,IM
321,1,12.1,0,1,2,4,63.89891697,GT
323,1,14.5,1.2,0.92,5,2,72.70194986,IM
324,4,11.5,11.5,0,3,3,76.37795276,ST
325,3,12.4,0,1,5,1,78.53773585,GT
326,4,9.5,8.6,0.09,3,5,60.28985507,IM
328,3,11.8,3.7,0.69,4,2,62.92372881,GT
329,4,11.4,7.8,0.32,4,3,70.17994859,ST
330,1,11.4,1.7,0.85,3,4,65.19607843,IM
331,2,13.8,0,1,5,1,64.78873239,IM
332,1,12.7,1,0.92,5,1,62.1761658,IM
333,2,12.5,0,1,4,3,56.66666667,IM
334,4,3.3,3.3,0,3,4,55.50660793,GT
335,2,14.9,0,1,5,1,57.93991416,IM
336,1,2.7,1.7,0.37,3,2,51.04166667,GT
337,2,10.9,8.5,0.22,5,4,67.14285714,ST
338,2,11,3.6,0.67,2,2,53.20855615,IM
339,1,13.8,1.8,0.87,3,1,50.76923077,GT
340,2,13,0,1,4,1,77.21822542,IM
341,1,15.2,0.5,0.97,4,3,79.23076923,ST
342,2,12.3,0.9,0.93,4,4,62.45954693,ST
343,2,13.5,0.6,0.96,4,2,87.31988473,GT
344,4,11.8,1.5,0.87,3,2,58.40707965,ST
345,2,10.4,5.9,0.43,4,4,75.55555556,ST
346,4,13.5,0,1,4,4,83.436853,GT
347,1,3.8,3.6,0.05,4,2,59.6214511,ST
348,1,12.7,2.9,0.77,5,2,46.31336406,ST
349,2,1.5,0.5,0.67,5,1,49.74093264,GT
350,1,5,3,0.4,2,2,71.4,GT
351,2,11.7,0,1,4,3,81.47138965,GT
352,3,14,0,1,4,3,86.5060241,IM
353,1,12.8,0,1,3,5,57.33634312,IM
354,3,13.2,0,1,4,4,51.63934426,IM
356,3,14.1,0,1,2,4,93.76498801,IM
357,4,13,0,1,4,3,61.75637394,ST
358,4,14.9,0,1,4,2,63.44410876,ST
359,4,14.8,0,1,3,3,60.54545455,ST
