cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag,won,RT
1,101,-0.9091,4,1,1,0.6,1,0.4,4,0,5626.99
1,101,-0.7273,2,1,1,0.7,1,0.3,5,0,1407.96
1,101,-0.5,11,1,0,0.6,2,0.4,5,0,3222.02
1,101,-0.25,1,1,1,0.7,1,0.3,3,1,1651.73
1,101,-0.1053,10,1,1,0.6,3,0.4,5,1,3247.84
1,101,0.1818,15,1,1,0.6,4,0.4,5,1,2568.8
1,101,0.4348,5,1,1,0.7,2,0.3,3,1,1305.72
1,101,0.5455,32,1,1,0.7,3,0.3,4,0,1293.85
1,101,0.6667,6,1,1,0.8,1,0.2,2,0,1349.3
1,101,0.9091,7,1,1,0.8,2,0.2,3,1,1024.09
1,101,-0.9091,12,2,0,0.6,1,0.4,4,0,1580.74
1,101,-0.7273,3,2,1,0.7,1,0.3,5,1,911.83
1,101,-0.5,39,2,0,0.6,2,0.4,5,0,1658.32
1,101,-0.25,18,2,1,0.7,1,0.3,3,0,1293.83
1,101,-0.1053,34,2,0,0.6,3,0.4,5,0,1339.78
1,101,0.1818,17,2,1,0.6,4,0.4,5,1,1982.24
1,101,0.4348,8,2,1,0.7,2,0.3,3,1,1373.93
1,101,0.5455,33,2,1,0.7,3,0.3,4,0,1186.02
1,101,0.6667,13,2,1,0.8,1,0.2,2,1,964.51
1,101,0.9091,21,2,1,0.8,2,0.2,3,1,2593.97
1,101,-0.9091,20,3,0,0.6,1,0.4,4,1,2897.47
1,101,-0.7273,9,3,0,0.7,1,0.3,5,0,2117.36
1,101,-0.5,45,3,0,0.6,2,0.4,5,1,2670.91
1,101,-0.25,22,3,1,0.7,1,0.3,3,1,1135.79
1,101,-0.1053,44,3,0,0.6,3,0.4,5,0,2407.93
1,101,0.1818,19,3,1,0.6,4,0.4,5,1,1801.26
1,101,0.4348,14,3,1,0.7,2,0.3,3,1,1844.64
1,101,0.5455,35,3,1,0.7,3,0.3,4,0,1131.34
1,101,0.6667,16,3,1,0.8,1,0.2,2,1,1257.69
1,101,0.9091,30,3,1,0.8,2,0.2,3,1,782.33
1,101,-0.9091,23,4,1,0.6,1,0.4,4,0,1081.91
1,101,-0.7273,42,4,1,0.7,1,0.3,5,0,868.51
1,101,-0.5,47,4,1,0.6,2,0.4,5,1,1276.67
1,101,-0.25,37,4,1,0.7,1,0.3,3,1,1582.24
1,101,-0.1053,51,4,0,0.6,3,0.4,5,0,2230.32
1,101,0.1818,29,4,1,0.6,4,0.4,5,1,1074.34
1,101,0.4348,24,4,1,0.7,2,0.3,3,1,957.09
1,101,0.5455,46,4,1,0.7,3,0.3,4,0,1556.6
1,101,0.6667,38,4,1,0.8,1,0.2,2,1,727.74
1,101,0.9091,48,4,1,0.8,2,0.2,3,1,1103.31
1,101,-0.9091,26,5,0,0.6,1,0.4,4,0,1903.73
1,101,-0.7273,52,5,1,0.7,1,0.3,5,0,5157.17
1,101,-0.5,49,5,1,0.6,2,0.4,5,1,1131.81
1,101,-0.25,54,5,1,0.7,1,0.3,3,1,1069.49
1,101,-0.1053,64,5,0,0.6,3,0.4,5,1,2008.99
1,101,0.1818,36,5,1,0.6,4,0.4,5,1,2133.6
1,101,0.4348,25,5,1,0.7,2,0.3,3,0,832.27
1,101,0.5455,77,5,1,0.7,3,0.3,4,1,4215
1,101,0.6667,53,5,1,0.8,1,0.2,2,1,1207.64
1,101,0.9091,68,5,1,0.8,2,0.2,3,1,7968.61
1,101,-0.9091,40,6,0,0.6,1,0.4,4,0,1894.29
1,101,-0.7273,55,6,1,0.7,1,0.3,5,1,5913.98
1,101,-0.5,65,6,0,0.6,2,0.4,5,1,6487.47
