cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag
1,301,-0.9091,7,1,0,0.6,1,0.4,4
1,301,-0.7273,25,1,0,0.7,1,0.3,5
1,301,-0.5263,3,1,0,0.7,1,0.3,4
1,301,-0.2857,1,1,1,0.6,2,0.4,4
1,301,0,5,1,1,0.6,2,0.4,3
1,301,0.3333,8,1,1,0.7,3,0.3,5
1,301,0.4615,2,1,1,0.8,2,0.2,5
1,301,0.6667,6,1,1,0.8,1,0.2,2
1,301,0.8235,17,1,1,0.8,3,0.2,5
1,301,1,9,1,1,0.8,3,0.2,4
1,301,-0.9091,11,2,0,0.6,1,0.4,4
1,301,-0.7273,29,2,0,0.7,1,0.3,5
1,301,-0.5263,19,2,0,0.7,1,0.3,4
1,301,-0.2857,4,2,1,0.6,2,0.4,4
1,301,0,12,2,1,0.6,2,0.4,3
1,301,0.3333,28,2,1,0.7,3,0.3,5
1,301,0.4615,14,2,1,0.8,2,0.2,5
1,301,0.6667,15,2,1,0.8,1,0.2,2
1,301,0.8235,18,2,1,0.8,3,0.2,5
1,301,1,21,2,1,0.8,3,0.2,4
1,301,-0.9091,23,3,0,0.6,1,0.4,4
1,301,-0.7273,40,3,0,0.7,1,0.3,5
1,301,-0.5263,22,3,0,0.7,1,0.3,4
1,301,-0.2857,10,3,1,0.6,2,0.4,4
1,301,0,36,3,1,0.6,2,0.4,3
1,301,0.3333,53,3,1,0.7,3,0.3,5
1,301,0.4615,41,3,1,0.8,2,0.2,5
1,301,0.6667,20,3,1,0.8,1,0.2,2
1,301,0.8235,34,3,1,0.8,3,0.2,5
1,301,1,31,3,1,0.8,3,0.2,4
1,301,-0.9091,33,4,0,0.6,1,0.4,4
1,301,-0.7273,52,4,0,0.7,1,0.3,5
1,301,-0.5263,30,4,0,0.7,1,0.3,4
1,301,-0.2857,13,4,1,0.6,2,0.4,4
1,301,0,56,4,1,0.6,2,0.4,3
1,301,0.3333,55,4,1,0.7,3,0.3,5
1,301,0.4615,44,4,1,0.8,2,0.2,5
1,301,0.6667,24,4,1,0.8,1,0.2,2
1,301,0.8235,35,4,1,0.8,3,0.2,5
1,301,1,32,4,1,0.8,3,0.2,4
1,301,-0.9091,39,5,0,0.6,1,0.4,4
1,301,-0.7273,58,5,0,0.7,1,0.3,5
1,301,-0.5263,57,5,0,0.7,1,0.3,4
1,301,-0.2857,16,5,1,0.6,2,0.4,4
1,301,0,66,5,1,0.6,2,0.4,3
1,301,0.3333,59,5,1,0.7,3,0.3,5
1,301,0.4615,46,5,1,0.8,2,0.2,5
1,301,0.6667,26,5,1,0.8,1,0.2,2
1,301,0.8235,38,5,1,0.8,3,0.2,5
1,301,1,37,5,1,0.8,3,0.2,4
1,301,-0.9091,51,6,0,0.6,1,0.4,4
1,301,-0.7273,71,6,0,0.7,1,0.3,5
1,301,-0.5263,60,6,0,0.7,1,0.3,4
1,301,-0.2857,27,6,0,0.6,2,0.4,4
1,301,0,73,6,1,0.6,2,0.4,3
1,301,0.3333,61,6,1,0.7,3,0.3,5
1,301,0.4615,48,6,1,0.8,2,0.2,5
1,301,0.6667,54,6,1,0.8,1,0.2,2
1,301,0.8235,45,6,1,0.8,3,0.2,5
1,301,1,47,6,1,0.8,3,0.2,4
1,301,-0.9091,65,7,0,0.6,1,0.4,4
1,301,-0.7273,77,7,0,0.7,1,0.3,5
1,301,-0.5263,72,7,0,0.7,1,0.3,4
1,301,-0.2857,42,7,1,0.6,2,0.4,4
1,301,0,78,7,1,0.6,2,0.4,3
1,301,0.3333,63,7,1,0.7,3,0.3,5
1,301,0.4615,49,7,1,0.8,2,0.2,5
1,301,0.6667,74,7,1,0.8,1,0.2,2
1,301,0.8235,64,7,1,0.8,3,0.2,5
1,301,1,62,7,1,0.8,3,0.2,4
1,301,-0.9091,79,8,0,0.6,1,0.4,4
1,301,-0.7273,94,8,0,0.7,1,0.3,5
1,301,-0.5263,82,8,0,0.7,1,0.3,4
1,301,-0.2857,43,8,1,0.6,2,0.4,4
1,301,0,83,8,1,0.6,2,0.4,3
1,301,0.3333,84,8,1,0.7,3,0.3,5
1,301,0.4615,75,8,1,0.8,2,0.2,5
1,301,0.6667,87,8,1,0.8,1,0.2,2
1,301,0.8235,67,8,1,0.8,3,0.2,5
1,301,1,69,8,1,0.8,3,0.2,4
1,301,-0.9091,92,9,0,0.6,1,0.4,4
1,301,-0.7273,95,9,0,0.7,1,0.3,5
1,301,-0.5263,91,9,0,0.7,1,0.3,4
1,301,-0.2857,50,9,0,0.6,2,0.4,4
1,301,0,88,9,1,0.6,2,0.4,3
1,301,0.3333,85,9,1,0.7,3,0.3,5
1,301,0.4615,86,9,1,0.8,2,0.2,5
1,301,0.6667,89,9,1,0.8,1,0.2,2
1,301,0.8235,68,9,1,0.8,3,0.2,5
1,301,1,80,9,1,0.8,3,0.2,4
1,301,-0.9091,93,10,0,0.6,1,0.4,4
1,301,-0.7273,96,10,0,0.7,1,0.3,5
1,301,-0.5263,99,10,0,0.7,1,0.3,4
1,301,-0.2857,76,10,1,0.6,2,0.4,4
1,301,0,97,10,1,0.6,2,0.4,3
1,301,0.3333,98,10,1,0.7,3,0.3,5
1,301,0.4615,100,10,1,0.8,2,0.2,5
1,301,0.6667,90,10,1,0.8,1,0.2,2
1,301,0.8235,70,10,1,0.8,3,0.2,5
1,301,1,81,10,1,0.8,3,0.2,4
1,302,-0.9091,7,1,0,0.6,1,0.4,4
